model,condition,item_id,domain,response,correct_answer,is_correct
llama3-8b,T1,7383,economics,E,G,False
llama3-8b,T1,7384,economics,B,B,True
llama3-8b,T1,7385,economics,A,H,False
llama3-8b,T1,7386,economics,G,G,True
llama3-8b,T1,7388,economics,A,A,True
llama3-8b,T1,7391,economics,A,A,True
llama3-8b,T1,7392,economics,B,B,True
llama3-8b,T1,7393,economics,E,J,False
llama3-8b,T1,7394,economics,B,C,False
llama3-8b,T1,7396,economics,G,G,True
llama3-8b,T1,7398,economics,F,F,True
llama3-8b,T1,7399,economics,B,I,False
llama3-8b,T1,7400,economics,C,C,True
llama3-8b,T1,7402,economics,D,B,False
llama3-8b,T1,7403,economics,A,B,False
llama3-8b,T1,7404,economics,F,J,False
llama3-8b,T1,7405,economics,C,C,True
llama3-8b,T1,7406,economics,B,J,False
llama3-8b,T1,7407,economics,G,G,True
llama3-8b,T1,7408,economics,A,A,True
llama3-8b,T1,7409,economics,C,C,True
llama3-8b,T1,7410,economics,C,D,False
llama3-8b,T1,7411,economics,D,D,True
llama3-8b,T1,7412,economics,I,J,False
llama3-8b,T1,7415,economics,H,H,True
llama3-8b,T1,7417,economics,J,I,False
llama3-8b,T1,7418,economics,D,D,True
llama3-8b,T1,7419,economics,J,J,True
llama3-8b,T1,7428,economics,E,F,False
llama3-8b,T1,7429,economics,E,E,True
llama3-8b,T1,7430,economics,B,H,False
llama3-8b,T1,7431,economics,F,E,False
llama3-8b,T1,7433,economics,J,H,False
llama3-8b,T1,7434,economics,G,G,True
llama3-8b,T1,7436,economics,D,D,True
llama3-8b,T1,7437,economics,D,A,False
llama3-8b,T1,7439,economics,G,G,True
llama3-8b,T1,7442,economics,F,I,False
llama3-8b,T1,7443,economics,J,F,False
llama3-8b,T1,7444,economics,C,A,False
llama3-8b,T1,7445,economics,I,I,True
llama3-8b,T1,7447,economics,E,J,False
llama3-8b,T1,7449,economics,D,G,False
llama3-8b,T1,7450,economics,I,H,False
llama3-8b,T1,7452,economics,C,C,True
llama3-8b,T1,7453,economics,C,I,False
llama3-8b,T1,7456,economics,C,F,False
llama3-8b,T1,7459,economics,C,C,True
llama3-8b,T1,7460,economics,G,G,True
llama3-8b,T1,7461,economics,G,G,True
llama3-8b,T1,7464,economics,B,H,False
llama3-8b,T1,7466,economics,H,H,True
llama3-8b,T1,7469,economics,G,G,True
llama3-8b,T1,7470,economics,E,E,True
llama3-8b,T1,7471,economics,D,C,False
llama3-8b,T1,7473,economics,C,H,False
llama3-8b,T1,7474,economics,E,A,False
llama3-8b,T1,7477,economics,B,I,False
llama3-8b,T1,7479,economics,J,J,True
llama3-8b,T1,7483,economics,D,I,False
llama3-8b,T1,7484,economics,E,B,False
llama3-8b,T1,7485,economics,C,F,False
llama3-8b,T1,7492,economics,F,I,False
llama3-8b,T1,7493,economics,F,G,False
llama3-8b,T1,7494,economics,E,J,False
llama3-8b,T1,7496,economics,C,G,False
llama3-8b,T1,7500,economics,F,H,False
llama3-8b,T1,7501,economics,B,G,False
llama3-8b,T1,7502,economics,F,F,True
llama3-8b,T1,7504,economics,D,C,False
llama3-8b,T1,7505,economics,B,J,False
llama3-8b,T1,7508,economics,C,C,True
llama3-8b,T1,7509,economics,E,E,True
llama3-8b,T1,7510,economics,D,I,False
llama3-8b,T1,7512,economics,E,J,False
llama3-8b,T1,7514,economics,J,C,False
llama3-8b,T1,7516,economics,A,A,True
llama3-8b,T1,7521,economics,H,H,True
llama3-8b,T1,7522,economics,J,F,False
llama3-8b,T1,7523,economics,C,C,True
llama3-8b,T1,7524,economics,I,I,True
llama3-8b,T1,7525,economics,C,C,True
llama3-8b,T1,7526,economics,B,B,True
llama3-8b,T1,7529,economics,G,G,True
llama3-8b,T1,7530,economics,B,I,False
llama3-8b,T1,7532,economics,F,A,False
llama3-8b,T1,7533,economics,E,E,True
llama3-8b,T1,7534,economics,A,H,False
llama3-8b,T1,7536,economics,A,F,False
llama3-8b,T1,7537,economics,J,B,False
llama3-8b,T1,7538,economics,F,B,False
llama3-8b,T1,7539,economics,C,C,True
llama3-8b,T1,7540,economics,B,G,False
llama3-8b,T1,7542,economics,I,A,False
llama3-8b,T1,7543,economics,D,H,False
llama3-8b,T1,7544,economics,B,I,False
llama3-8b,T1,7545,economics,A,A,True
llama3-8b,T1,7546,economics,A,A,True
llama3-8b,T1,7547,economics,G,G,True
llama3-8b,T1,7548,economics,B,B,True
llama3-8b,T1,7549,economics,D,D,True
llama3-8b,T1,7550,economics,I,I,True
llama3-8b,T1,7551,economics,D,D,True
llama3-8b,T1,7552,economics,E,C,False
llama3-8b,T1,7554,economics,E,E,True
llama3-8b,T1,7556,economics,C,D,False
llama3-8b,T1,7560,economics,I,J,False
llama3-8b,T1,7561,economics,A,G,False
llama3-8b,T1,7562,economics,I,E,False
llama3-8b,T1,7564,economics,D,D,True
llama3-8b,T1,7565,economics,A,D,False
llama3-8b,T1,7566,economics,B,C,False
llama3-8b,T1,7567,economics,A,E,False
llama3-8b,T1,7568,economics,G,D,False
llama3-8b,T1,7572,economics,I,E,False
llama3-8b,T1,7573,economics,C,F,False
llama3-8b,T1,7575,economics,G,D,False
llama3-8b,T1,7580,economics,E,J,False
llama3-8b,T1,7582,economics,B,E,False
llama3-8b,T1,7583,economics,F,E,False
llama3-8b,T1,7584,economics,B,J,False
llama3-8b,T1,7586,economics,G,G,True
llama3-8b,T1,7590,economics,A,A,True
llama3-8b,T1,7592,economics,J,G,False
llama3-8b,T1,7593,economics,J,B,False
llama3-8b,T1,7594,economics,C,C,True
llama3-8b,T1,7596,economics,G,G,True
llama3-8b,T1,7599,economics,J,J,True
llama3-8b,T1,7600,economics,C,C,True
llama3-8b,T1,7602,economics,B,B,True
llama3-8b,T1,7603,economics,B,B,True
llama3-8b,T1,7604,economics,D,A,False
llama3-8b,T1,7606,economics,H,H,True
llama3-8b,T1,7607,economics,J,J,True
llama3-8b,T1,7608,economics,B,D,False
llama3-8b,T1,7610,economics,E,A,False
llama3-8b,T1,7611,economics,E,E,True
llama3-8b,T1,7613,economics,G,G,True
llama3-8b,T1,7614,economics,D,J,False
llama3-8b,T1,7617,economics,J,D,False
llama3-8b,T1,7618,economics,A,A,True
llama3-8b,T1,7619,economics,B,B,True
llama3-8b,T1,7620,economics,G,G,True
llama3-8b,T1,7621,economics,J,A,False
llama3-8b,T1,7622,economics,J,B,False
llama3-8b,T1,7623,economics,B,D,False
llama3-8b,T1,7626,economics,C,G,False
llama3-8b,T1,7629,economics,G,A,False
llama3-8b,T1,7630,economics,B,I,False
llama3-8b,T1,7632,economics,G,D,False
llama3-8b,T1,7634,economics,C,H,False
llama3-8b,T1,7638,economics,H,E,False
llama3-8b,T1,7639,economics,D,D,True
llama3-8b,T1,7640,economics,A,G,False
llama3-8b,T1,7641,economics,B,A,False
llama3-8b,T1,7644,economics,D,D,True
llama3-8b,T1,7645,economics,J,D,False
llama3-8b,T1,7646,economics,J,J,True
llama3-8b,T1,7648,economics,D,I,False
llama3-8b,T1,7649,economics,C,G,False
llama3-8b,T1,7650,economics,A,H,False
llama3-8b,T1,7651,economics,E,B,False
llama3-8b,T1,7655,economics,D,F,False
llama3-8b,T1,7656,economics,J,J,True
llama3-8b,T1,7657,economics,J,D,False
llama3-8b,T1,7658,economics,C,I,False
llama3-8b,T1,7662,economics,B,F,False
llama3-8b,T1,7664,economics,B,B,True
llama3-8b,T1,7665,economics,E,E,True
llama3-8b,T1,7667,economics,B,B,True
llama3-8b,T1,7669,economics,E,E,True
llama3-8b,T1,7670,economics,B,H,False
llama3-8b,T1,7671,economics,J,J,True
llama3-8b,T1,7672,economics,E,H,False
llama3-8b,T1,7673,economics,E,E,True
llama3-8b,T1,7674,economics,A,A,True
llama3-8b,T1,7675,economics,D,H,False
llama3-8b,T1,7676,economics,B,B,True
llama3-8b,T1,7677,economics,E,E,True
llama3-8b,T1,7678,economics,B,B,True
llama3-8b,T1,7679,economics,H,B,False
llama3-8b,T1,7681,economics,A,F,False
llama3-8b,T1,7684,economics,B,I,False
llama3-8b,T1,7686,economics,B,J,False
llama3-8b,T2,9047,physics,C,B,False
llama3-8b,T2,9048,physics,A,J,False
llama3-8b,T2,9049,physics,F,F,True
llama3-8b,T2,9052,physics,G,C,False
llama3-8b,T2,9054,physics,D,H,False
llama3-8b,T2,9055,physics,F,F,True
llama3-8b,T2,9059,physics,G,B,False
llama3-8b,T2,9060,physics,F,A,False
llama3-8b,T2,9061,physics,E,C,False
llama3-8b,T2,9069,physics,D,G,False
llama3-8b,T2,9070,physics,E,D,False
llama3-8b,T2,9071,physics,B,D,False
llama3-8b,T2,9074,physics,B,H,False
llama3-8b,T2,9082,physics,G,E,False
llama3-8b,T2,9085,physics,I,I,True
llama3-8b,T2,9086,physics,F,G,False
llama3-8b,T2,9088,physics,D,G,False
llama3-8b,T2,9089,physics,D,D,True
llama3-8b,T2,9091,physics,D,A,False
llama3-8b,T2,9097,physics,E,A,False
llama3-8b,T2,9098,physics,F,A,False
llama3-8b,T2,9100,physics,I,B,False
llama3-8b,T2,9104,physics,C,J,False
llama3-8b,T2,9105,physics,D,B,False
llama3-8b,T2,9106,physics,F,E,False
llama3-8b,T2,9107,physics,C,A,False
llama3-8b,T2,9108,physics,F,G,False
llama3-8b,T2,9110,physics,F,B,False
llama3-8b,T2,9111,physics,D,B,False
llama3-8b,T2,9115,physics,E,J,False
llama3-8b,T2,9116,physics,D,A,False
llama3-8b,T2,9117,physics,J,F,False
llama3-8b,T2,9120,physics,A,D,False
llama3-8b,T2,9121,physics,D,H,False
llama3-8b,T2,9123,physics,A,A,True
llama3-8b,T2,9129,physics,G,F,False
llama3-8b,T2,9130,physics,C,J,False
llama3-8b,T2,9135,physics,E,E,True
llama3-8b,T2,9140,physics,D,D,True
llama3-8b,T2,9141,physics,D,A,False
llama3-8b,T2,9142,physics,E,G,False
llama3-8b,T2,9143,physics,G,H,False
llama3-8b,T2,9147,physics,H,J,False
llama3-8b,T2,9149,physics,E,I,False
llama3-8b,T2,9152,physics,E,D,False
llama3-8b,T2,9153,physics,E,H,False
llama3-8b,T2,9156,physics,G,A,False
llama3-8b,T2,9157,physics,C,C,True
llama3-8b,T2,9158,physics,E,E,True
llama3-8b,T2,9161,physics,C,A,False
llama3-8b,T2,9165,physics,J,B,False
llama3-8b,T2,9167,physics,F,C,False
llama3-8b,T2,9169,physics,E,F,False
llama3-8b,T2,9171,physics,F,F,True
llama3-8b,T2,9178,physics,E,D,False
llama3-8b,T2,9179,physics,E,G,False
llama3-8b,T2,9181,physics,J,A,False
llama3-8b,T2,9182,physics,C,F,False
llama3-8b,T2,9183,physics,E,H,False
llama3-8b,T2,9185,physics,G,J,False
llama3-8b,T2,9186,physics,E,B,False
llama3-8b,T2,9189,physics,E,J,False
llama3-8b,T2,9190,physics,B,F,False
llama3-8b,T2,9193,physics,A,D,False
llama3-8b,T2,9194,physics,C,C,True
llama3-8b,T2,9199,physics,E,E,True
llama3-8b,T2,9200,physics,F,E,False
llama3-8b,T2,9206,physics,D,E,False
llama3-8b,T2,9207,physics,F,A,False
llama3-8b,T2,9209,physics,C,G,False
llama3-8b,T2,9211,physics,B,B,True
llama3-8b,T2,9213,physics,A,H,False
llama3-8b,T2,9214,physics,H,J,False
llama3-8b,T2,9216,physics,D,D,True
llama3-8b,T2,9218,physics,A,C,False
llama3-8b,T2,9223,physics,D,J,False
llama3-8b,T2,9226,physics,C,C,True
llama3-8b,T2,9229,physics,E,A,False
llama3-8b,T2,9230,physics,G,G,True
llama3-8b,T2,9231,physics,B,D,False
llama3-8b,T2,9234,physics,E,D,False
llama3-8b,T2,9237,physics,C,A,False
llama3-8b,T2,9238,physics,B,B,True
llama3-8b,T2,9239,physics,I,B,False
llama3-8b,T2,9241,physics,G,C,False
llama3-8b,T2,9242,physics,E,A,False
llama3-8b,T2,9245,physics,E,J,False
llama3-8b,T2,9246,physics,B,J,False
llama3-8b,T2,9249,physics,J,J,True
llama3-8b,T2,9252,physics,E,D,False
llama3-8b,T2,9255,physics,D,D,True
llama3-8b,T2,9257,physics,D,D,True
llama3-8b,T2,9258,physics,E,C,False
llama3-8b,T2,9265,physics,G,D,False
llama3-8b,T2,9267,physics,C,F,False
llama3-8b,T2,9268,physics,E,F,False
llama3-8b,T2,9272,physics,C,J,False
llama3-8b,T2,9273,physics,E,A,False
llama3-8b,T2,9274,physics,B,B,True
llama3-8b,T2,9277,physics,G,A,False
llama3-8b,T2,9278,physics,E,E,True
llama3-8b,T2,9279,physics,E,E,True
llama3-8b,T2,9283,physics,G,G,True
llama3-8b,T2,9284,physics,G,I,False
llama3-8b,T2,9290,physics,H,I,False
llama3-8b,T2,9292,physics,E,E,True
llama3-8b,T2,9294,physics,B,B,True
llama3-8b,T2,9297,physics,G,J,False
llama3-8b,T2,9300,physics,B,H,False
llama3-8b,T2,9302,physics,F,D,False
llama3-8b,T2,9305,physics,H,H,True
llama3-8b,T2,9306,physics,F,F,True
llama3-8b,T2,9309,physics,E,F,False
llama3-8b,T2,9313,physics,E,D,False
llama3-8b,T2,9315,physics,E,E,True
llama3-8b,T2,9321,physics,C,I,False
llama3-8b,T2,9322,physics,C,E,False
llama3-8b,T2,9325,physics,B,B,True
llama3-8b,T2,9326,physics,E,B,False
llama3-8b,T2,9328,physics,B,I,False
llama3-8b,T2,9333,physics,A,A,True
llama3-8b,T2,9338,physics,F,J,False
llama3-8b,T2,9340,physics,I,I,True
llama3-8b,T2,9342,physics,G,J,False
llama3-8b,T2,9343,physics,B,H,False
llama3-8b,T2,9346,physics,E,A,False
llama3-8b,T2,9347,physics,F,C,False
llama3-8b,T2,9362,physics,D,D,True
llama3-8b,T2,9365,physics,A,A,True
llama3-8b,T2,9367,physics,D,J,False
llama3-8b,T2,9369,physics,J,C,False
llama3-8b,T2,9373,physics,E,G,False
llama3-8b,T2,9374,physics,G,D,False
llama3-8b,T2,9376,physics,E,H,False
llama3-8b,T2,9380,physics,E,A,False
llama3-8b,T2,9383,physics,E,I,False
llama3-8b,T2,9385,physics,G,A,False
llama3-8b,T2,9388,physics,H,I,False
llama3-8b,T2,9389,physics,E,F,False
llama3-8b,T2,9392,physics,E,E,True
llama3-8b,T2,9395,physics,E,F,False
llama3-8b,T2,9396,physics,C,D,False
llama3-8b,T2,9398,physics,G,G,True
llama3-8b,T2,9400,physics,E,H,False
llama3-8b,T2,9401,physics,J,J,True
llama3-8b,T2,9402,physics,F,F,True
llama3-8b,T2,9403,physics,G,G,True
llama3-8b,T2,9412,physics,J,G,False
llama3-8b,T2,9414,physics,C,G,False
llama3-8b,T2,9416,physics,C,D,False
llama3-8b,T2,9422,physics,G,B,False
llama3-8b,T2,9423,physics,G,J,False
llama3-8b,T2,9424,physics,A,J,False
llama3-8b,T2,9427,physics,B,B,True
llama3-8b,T2,9430,physics,E,E,True
llama3-8b,T2,9431,physics,E,G,False
llama3-8b,T2,9438,physics,B,B,True
llama3-8b,T2,9440,physics,E,I,False
llama3-8b,T2,9443,physics,F,B,False
llama3-8b,T2,9453,physics,C,C,True
llama3-8b,T2,9454,physics,C,I,False
llama3-8b,T2,9456,physics,B,I,False
llama3-8b,T2,9457,physics,G,J,False
llama3-8b,T2,9459,physics,B,G,False
llama3-8b,T2,9460,physics,C,F,False
llama3-8b,T2,9465,physics,B,B,True
llama3-8b,T2,9471,physics,A,G,False
llama3-8b,T2,9473,physics,A,F,False
llama3-8b,T2,9474,physics,B,G,False
llama3-8b,T2,9475,physics,C,C,True
llama3-8b,T2,9476,physics,A,A,True
llama3-8b,T2,9477,physics,D,D,True
llama3-8b,T2,9479,physics,D,D,True
llama3-8b,T2,9482,physics,B,H,False
llama3-8b,T2,9487,physics,E,H,False
llama3-8b,T2,9488,physics,G,G,True
llama3-8b,T2,9495,physics,G,J,False
llama3-8b,T2,9498,physics,E,C,False
llama3-8b,T2,9499,physics,D,A,False
llama3-8b,T2,9501,physics,G,G,True
llama3-8b,T2,9503,physics,D,D,True
llama3-8b,T2,9504,physics,E,G,False
llama3-8b,T2,9506,physics,C,G,False
llama3-8b,T2,9510,physics,D,D,True
llama3-8b,T2,9512,physics,E,C,False
llama3-8b,T2,9513,physics,B,I,False
llama3-8b,T2,9514,physics,C,D,False
llama3-8b,T2,9515,physics,A,A,True
llama3-8b,T2,9517,physics,J,A,False
llama3-8b,T2,9518,physics,B,H,False
llama3-8b,T2,9519,physics,B,E,False
llama3-8b,T2,9523,physics,C,F,False
llama3-8b,T2,9526,physics,C,C,True
llama3-8b,T2,9531,physics,E,F,False
llama3-8b,T2,9532,physics,F,E,False
llama3-8b,T2,9535,physics,D,H,False
llama3-8b,T2,9536,physics,E,B,False
llama3-8b,T2,9540,physics,H,G,False
llama3-8b,T2,9545,physics,J,C,False
llama3-8b,T2,9551,physics,B,B,True
llama3-8b,T2,9557,physics,C,E,False
llama3-8b,T2,9559,physics,B,H,False
llama3-8b,T2,9561,physics,E,F,False
llama3-8b,T2,9563,physics,B,J,False
llama3-8b,T2,9564,physics,B,I,False
llama3-8b,T2,9568,physics,G,G,True
llama3-8b,T2,9569,physics,C,C,True
llama3-8b,T2,9571,physics,G,G,True
llama3-8b,T2,9572,physics,F,C,False
llama3-8b,T2,9576,physics,B,B,True
llama3-8b,T2,9578,physics,D,A,False
llama3-8b,T2,9580,physics,C,E,False
llama3-8b,T2,9582,physics,E,B,False
llama3-8b,T2,9585,physics,D,D,True
llama3-8b,T2,9588,physics,G,B,False
llama3-8b,T2,9589,physics,J,A,False
llama3-8b,T2,9591,physics,G,H,False
llama3-8b,T2,9592,physics,F,J,False
llama3-8b,T2,9594,physics,E,E,True
llama3-8b,T2,9607,physics,E,A,False
llama3-8b,T2,9610,physics,F,A,False
llama3-8b,T2,9611,physics,B,E,False
llama3-8b,T2,9613,physics,I,C,False
llama3-8b,T2,9614,physics,E,E,True
llama3-8b,T2,9615,physics,E,J,False
llama3-8b,T2,9618,physics,B,B,True
llama3-8b,T2,9620,physics,C,D,False
llama3-8b,T2,9621,physics,E,B,False
llama3-8b,T2,9622,physics,D,F,False
llama3-8b,T2,9624,physics,G,I,False
llama3-8b,T2,9625,physics,D,I,False
llama3-8b,T2,9627,physics,G,C,False
llama3-8b,T2,9628,physics,E,B,False
llama3-8b,T2,9630,physics,F,F,True
llama3-8b,T2,9636,physics,G,C,False
llama3-8b,T2,9637,physics,F,F,True
llama3-8b,T2,9639,physics,H,A,False
llama3-8b,T2,9640,physics,D,F,False
llama3-8b,T2,9642,physics,F,J,False
llama3-8b,T2,9644,physics,E,I,False
llama3-8b,T2,9645,physics,E,I,False
llama3-8b,T2,9648,physics,E,E,True
llama3-8b,T2,9649,physics,G,A,False
llama3-8b,T2,9651,physics,E,A,False
llama3-8b,T2,9653,physics,C,A,False
llama3-8b,T2,9659,physics,C,J,False
llama3-8b,T2,9666,physics,E,E,True
llama3-8b,T2,9668,physics,F,F,True
llama3-8b,T2,9669,physics,E,G,False
llama3-8b,T2,9670,physics,G,E,False
llama3-8b,T2,9672,physics,D,I,False
llama3-8b,T2,9673,physics,F,F,True
llama3-8b,T2,9674,physics,C,C,True
llama3-8b,T2,9676,physics,B,G,False
llama3-8b,T2,9677,physics,C,C,True
llama3-8b,T2,9685,physics,I,G,False
llama3-8b,T2,9686,physics,E,H,False
llama3-8b,T2,9687,physics,E,G,False
llama3-8b,T2,9688,physics,G,H,False
llama3-8b,T2,9696,physics,E,E,True
llama3-8b,T2,9697,physics,B,H,False
llama3-8b,T2,9703,physics,B,B,True
llama3-8b,T2,9706,physics,E,E,True
llama3-8b,T2,9711,physics,D,D,True
llama3-8b,T2,9712,physics,C,C,True
llama3-8b,T2,9713,physics,C,D,False
llama3-8b,T2,9715,physics,E,E,True
llama3-8b,T2,9721,physics,A,J,False
llama3-8b,T2,9723,physics,B,H,False
llama3-8b,T2,9726,physics,C,I,False
llama3-8b,T2,9731,physics,J,D,False
llama3-8b,T2,9736,physics,E,E,True
llama3-8b,T2,9740,physics,C,F,False
llama3-8b,T2,9743,physics,G,H,False
llama3-8b,T2,9744,physics,E,I,False
llama3-8b,T2,9749,physics,E,A,False
llama3-8b,T2,9751,physics,G,G,True
llama3-8b,T2,9755,physics,C,D,False
llama3-8b,T2,9757,physics,C,A,False
llama3-8b,T2,9758,physics,J,J,True
llama3-8b,T2,9759,physics,H,H,True
llama3-8b,T2,9761,physics,B,B,True
llama3-8b,T2,9764,physics,C,D,False
llama3-8b,T2,9765,physics,B,I,False
llama3-8b,T2,9767,physics,A,A,True
llama3-8b,T2,9769,physics,F,E,False
llama3-8b,T2,9771,physics,E,F,False
llama3-8b,T2,9773,physics,E,E,True
llama3-8b,T2,9774,physics,E,D,False
llama3-8b,T2,9776,physics,F,D,False
llama3-8b,T2,9777,physics,E,A,False
llama3-8b,T2,9778,physics,E,E,True
llama3-8b,T2,9780,physics,F,B,False
llama3-8b,T2,9785,physics,E,H,False
llama3-8b,T2,9786,physics,C,A,False
llama3-8b,T2,9789,physics,B,D,False
llama3-8b,T2,9795,physics,G,C,False
llama3-8b,T2,9800,physics,C,C,True
llama3-8b,T2,9802,physics,D,I,False
llama3-8b,T2,9804,physics,I,H,False
llama3-8b,T2,9807,physics,I,I,True
llama3-8b,T2,9809,physics,C,F,False
llama3-8b,T2,9817,physics,C,B,False
llama3-8b,T2,9818,physics,F,D,False
llama3-8b,T2,9819,physics,A,I,False
llama3-8b,T2,9824,physics,C,I,False
llama3-8b,T2,9825,physics,I,F,False
llama3-8b,T2,9827,physics,F,C,False
llama3-8b,T2,9831,physics,B,I,False
llama3-8b,T2,9832,physics,H,I,False
llama3-8b,T2,9833,physics,I,H,False
llama3-8b,T2,9837,physics,C,C,True
llama3-8b,T2,9838,physics,G,G,True
llama3-8b,T2,9839,physics,E,I,False
llama3-8b,T2,9843,physics,A,A,True
llama3-8b,T2,9844,physics,G,B,False
llama3-8b,T2,9845,physics,C,G,False
llama3-8b,T2,9849,physics,E,H,False
llama3-8b,T2,9850,physics,E,F,False
llama3-8b,T2,9852,physics,G,G,True
llama3-8b,T2,9854,physics,F,D,False
llama3-8b,T2,9856,physics,A,D,False
llama3-8b,T2,9861,physics,E,A,False
llama3-8b,T2,9862,physics,C,I,False
llama3-8b,T2,9863,physics,E,A,False
llama3-8b,T2,9864,physics,A,H,False
llama3-8b,T2,9867,physics,C,B,False
llama3-8b,T2,9874,physics,I,A,False
llama3-8b,T2,9875,physics,G,H,False
llama3-8b,T2,9876,physics,C,C,True
llama3-8b,T2,9885,physics,C,C,True
llama3-8b,T2,9889,physics,C,A,False
llama3-8b,T2,9890,physics,E,J,False
llama3-8b,T2,9897,physics,B,B,True
llama3-8b,T2,9902,physics,J,J,True
llama3-8b,T2,9904,physics,B,B,True
llama3-8b,T2,9908,physics,B,I,False
llama3-8b,T2,9911,physics,J,G,False
llama3-8b,T2,9913,physics,J,J,True
llama3-8b,T2,9914,physics,A,A,True
llama3-8b,T2,9920,physics,D,E,False
llama3-8b,T2,9923,physics,C,J,False
llama3-8b,T2,9930,physics,A,J,False
llama3-8b,T2,9939,physics,B,I,False
llama3-8b,T2,9942,physics,G,F,False
llama3-8b,T2,9943,physics,G,I,False
llama3-8b,T2,9946,physics,D,B,False
llama3-8b,T2,9949,physics,A,H,False
llama3-8b,T2,9953,physics,E,F,False
llama3-8b,T2,9954,physics,E,F,False
llama3-8b,T2,9955,physics,G,F,False
llama3-8b,T2,9957,physics,D,C,False
llama3-8b,T2,9958,physics,E,E,True
llama3-8b,T2,9959,physics,E,I,False
llama3-8b,T2,9960,physics,E,D,False
llama3-8b,T2,9962,physics,G,E,False
llama3-8b,T2,9964,physics,B,B,True
llama3-8b,T2,9967,physics,D,A,False
llama3-8b,T2,9968,physics,G,C,False
llama3-8b,T2,9973,physics,B,G,False
llama3-8b,T2,9976,physics,J,E,False
llama3-8b,T2,9981,physics,A,A,True
llama3-8b,T2,9986,physics,C,B,False
llama3-8b,T2,9988,physics,G,G,True
llama3-8b,T2,9994,physics,B,H,False
llama3-8b,T2,10004,physics,J,C,False
llama3-8b,T2,10011,physics,I,I,True
llama3-8b,T2,10012,physics,I,I,True
llama3-8b,T2,10014,physics,E,H,False
llama3-8b,T2,10016,physics,F,C,False
llama3-8b,T2,10017,physics,E,E,True
llama3-8b,T2,10018,physics,D,D,True
llama3-8b,T2,10020,physics,A,H,False
llama3-8b,T2,10021,physics,E,I,False
llama3-8b,T2,10022,physics,F,D,False
llama3-8b,T2,10029,physics,F,F,True
llama3-8b,T2,10032,physics,B,B,True
llama3-8b,T2,10033,physics,B,B,True
llama3-8b,T2,10034,physics,B,E,False
llama3-8b,T2,10038,physics,B,B,True
llama3-8b,T2,10040,physics,E,H,False
llama3-8b,T2,10041,physics,D,E,False
llama3-8b,T2,10042,physics,E,A,False
llama3-8b,T2,10043,physics,A,A,True
llama3-8b,T2,10049,physics,E,I,False
llama3-8b,T2,10050,physics,E,H,False
llama3-8b,T2,10052,physics,E,C,False
llama3-8b,T2,10058,physics,A,J,False
llama3-8b,T2,10059,physics,F,A,False
llama3-8b,T2,10060,physics,B,C,False
llama3-8b,T2,10063,physics,J,A,False
llama3-8b,T2,10069,physics,C,C,True
llama3-8b,T2,10070,physics,B,G,False
llama3-8b,T2,10076,physics,E,A,False
llama3-8b,T2,10079,physics,B,I,False
llama3-8b,T2,10083,physics,F,F,True
llama3-8b,T2,10086,physics,G,A,False
llama3-8b,T2,10089,physics,C,I,False
llama3-8b,T2,10091,physics,C,H,False
llama3-8b,T2,10092,physics,E,B,False
llama3-8b,T2,10095,physics,F,F,True
llama3-8b,T2,10099,physics,G,J,False
llama3-8b,T2,10100,physics,J,J,True
llama3-8b,T2,10102,physics,E,J,False
llama3-8b,T2,10105,physics,B,E,False
llama3-8b,T2,10110,physics,B,J,False
llama3-8b,T2,10113,physics,C,G,False
llama3-8b,T2,10116,physics,C,A,False
llama3-8b,T2,10118,physics,F,F,True
llama3-8b,T2,10121,physics,G,J,False
llama3-8b,T2,10123,physics,J,H,False
llama3-8b,T2,10126,physics,G,G,True
llama3-8b,T2,10135,physics,E,J,False
llama3-8b,T2,10139,physics,A,I,False
llama3-8b,T2,10140,physics,F,H,False
llama3-8b,T2,10143,physics,J,A,False
llama3-8b,T2,10144,physics,E,E,True
llama3-8b,T2,10147,physics,F,E,False
llama3-8b,T2,10149,physics,C,C,True
llama3-8b,T2,10150,physics,D,D,True
llama3-8b,T2,10151,physics,E,D,False
llama3-8b,T2,10152,physics,D,E,False
llama3-8b,T2,10153,physics,E,F,False
llama3-8b,T2,10155,physics,E,H,False
llama3-8b,T2,10162,physics,A,E,False
llama3-8b,T2,10165,physics,H,H,True
llama3-8b,T2,10168,physics,H,B,False
llama3-8b,T2,10173,physics,B,F,False
llama3-8b,T2,10180,physics,G,J,False
llama3-8b,T2,10182,physics,E,E,True
llama3-8b,T2,10188,physics,E,I,False
llama3-8b,T2,10190,physics,H,B,False
llama3-8b,T2,10191,physics,H,H,True
llama3-8b,T2,10193,physics,E,H,False
llama3-8b,T2,10194,physics,A,A,True
llama3-8b,T2,10195,physics,H,H,True
llama3-8b,T2,10199,physics,C,D,False
llama3-8b,T2,10201,physics,E,D,False
llama3-8b,T2,10206,physics,D,A,False
llama3-8b,T2,10207,physics,I,I,True
llama3-8b,T2,10209,physics,D,B,False
llama3-8b,T2,10211,physics,I,I,True
llama3-8b,T2,10213,physics,J,A,False
llama3-8b,T2,10220,physics,C,J,False
llama3-8b,T2,10226,physics,E,D,False
llama3-8b,T2,10229,physics,F,I,False
llama3-8b,T2,10235,physics,E,A,False
llama3-8b,T2,10237,physics,C,J,False
llama3-8b,T2,10240,physics,E,G,False
llama3-8b,T2,10241,physics,D,G,False
llama3-8b,T2,10243,physics,B,J,False
